Aashar,Shayer
"guzar rahī hai dabe paañv ishq kī devī
subuk-ravī se jahāñ ko masal to saktī hai",firaq-gorakhpuri
"hayāt se nigah-e-vāpsīñ hai kuchh mānūs
mire ḳhayāl se āñkhoñ meñ pal to saktī hai",firaq-gorakhpuri
"na bhūlnā ye hai tāḳhīr husn kī tāḳhīr
'firāq' aa.ī huī maut Tal to saktī hai",firaq-gorakhpuri
"ġham tirā jalva-gah-e-kaun-o-makāñ hai ki jo thā
ya.anī insān vahī sho.ala-ba-jāñ hai ki jo thā",firaq-gorakhpuri
"phir vahī rañg-e-takallum nigah-e-nāz meñ hai
vahī andāz vahī husn-e-bayāñ hai ki jo thā",firaq-gorakhpuri
"kab hai inkār tire lutf-o-karam se lekin
tū vahī dushman-e-dil dushman-e-jāñ hai ki jo thā",firaq-gorakhpuri
"ishq afsurda nahīñ aaj bhī afsurda bahut
vahī kam kam asr-e-soz-e-nihāñ hai ki jo thā",firaq-gorakhpuri
"qurb hī kam hai na duurī hī ziyāda lekin
aaj vo rabt kā ehsās kahāñ hai ki jo thā",firaq-gorakhpuri
"nazar aa jaate haiñ tum ko to bahut nāzuk baal
dil mirā kyā vahī ai shīsha-girāñ hai ki jo thā",firaq-gorakhpuri
"jaan de baiThe the ik baar havas vaale bhī
phir vahī marhala-e-sūd-o-ziyāñ hai ki jo thā",firaq-gorakhpuri
"husn ko khīñch to letā hai abhī tak lekin
vo asar jazb-e-mohabbat meñ kahāñ hai ki jo thā",firaq-gorakhpuri
"aaj bhī said-gah-e-ishq meñ husan-e-saffāk
liye abrū kī lachaktī sī kamāñ hai ki jo thā",firaq-gorakhpuri
"phir tirī chashm-e-suḳhan-sanj ne chheḌī koī baat
vahī jaadū hai vahī husn-e-bayāñ hai ki jo thā",firaq-gorakhpuri
"phir sar-e-mai-kada-e-ishq hai ik bārish-e-nūr
chhalke jāmoñ se charāġhāñ kā samāñ hai ki jo thā",firaq-gorakhpuri
"phir vahī ḳhair-nigāhī hai tire jalvoñ se
vahī aalam tirā ai barq-e-damāñ hai ki jo thā",firaq-gorakhpuri
"aaj bhī aag dabī hai dil-e-insāñ meñ 'firāq'
aaj bhī sīnoñ se uThtā vo dhuāñ hai ki jo thā",firaq-gorakhpuri
"haath aa.e to vahī dāman-e-jānāñ ho jaa.e
chhūT jaa.e to vahī apnā garebāñ ho jaa.e",firaq-gorakhpuri
"ishq ab bhī hai vo mahram-e-be-gāna-numā
husn yuuñ laakh chhupe laakh numāyāñ ho jaa.e",firaq-gorakhpuri
"hosh-o-ġhaflat se bahut duur hai kaifiyyat-e-ishq
us kī har be-ḳhabarī manzil-e-irfāñ ho jaa.e",firaq-gorakhpuri
"yaad aatī hai jab apnī to taḌap jaatā huuñ
merī hastī tirā bhūlā havā paimāñ ho jaa.e",firaq-gorakhpuri
"aañkh vo hai jo tirī jalva-gah-e-nāz bane
dil vahī hai jo sarāpā tirā armāñ ho jaa.e",firaq-gorakhpuri
"pāk-bāzān-e-mohabbat meñ jo bebākī hai
husn gar us ko samajh le to pashemāñ ho jaa.e",firaq-gorakhpuri
"sahl ho kar hui dushvār mohabbat terī
use mushkil jo banā leñ to kuchh āsāñ ho jaa.e",firaq-gorakhpuri
"ishq phir ishq hai jis ruup meñ jis bhes meñ ho
ishrat-e-vasl bane yā ġham-e-hijrāñ ho jaa.e",firaq-gorakhpuri
"kuchh mudāvā bhī ho majrūh diloñ kā ai dost
marham-e-zaḳhm tirā jaur-pashemāñ ho jaa.e",firaq-gorakhpuri
"ye bhī sach hai koī ulfat meñ pareshāñ kyuuñ ho
ye bhī sach hai koī kyūñkar na pareshāñ ho jaa.e",firaq-gorakhpuri
"ishq ko arz-e-tamannā meñ bhī lākhoñ pas-o-pesh
husn ke vāste inkār bhī āsāñ ho jaa.e",firaq-gorakhpuri
"jhilmilātī hai sar-e-bazm-e-jahāñ sham-e-ḳhudī
jo ye bujh jaa.e charāġh-e-rah-e-irfāñ ho jaa.e",firaq-gorakhpuri
"sar-e-shorīda diyā dasht-o-bayābāñ bhī diye
ye mirī ḳhūbī-e-qismat ki vo zindāñ ho jaa.e",firaq-gorakhpuri
"uqda-e-ishq ajab uqda-e-mohmal hai 'firāq'
kabhī lā-hal kabhī mushkil kabhī āsāñ ho jaa.e",firaq-gorakhpuri
"har naala tire dard se ab aur hī kuchh hai
har naġhma sar-e-bazm-e-tarab aur hī kuchh hai",firaq-gorakhpuri
"arbāb-e-vafā jaan bhī dene ko haiñ tayār
hastī kā magar husn-e-talab aur hī kuchh hai",firaq-gorakhpuri
"ye kaam na le nāla-o-faryād-o-fuġhāñ se
aflāk ulaT dene kā Dhab aur hī kuchh hai",firaq-gorakhpuri
"ik silsila-e-rāz hai jiinā ki ho marnā
jab aur hī kuchh thā magar ab aur hī kuchh hai",firaq-gorakhpuri
"kuchh mehr-e-qayāmat hai na kuchh nār-e-jahannam
hoshyār ki vo qahr-o-ġhazab aur hī kuchh hai",firaq-gorakhpuri
"maz.hab kī ḳharābī hai na aḳhlāq kī pastī
duniyā ke masā.ib kā sabab aur hī kuchh hai",firaq-gorakhpuri
"behūda-sarī sajde meñ hai jaan khapānā
ā.īn-e-mohabbat meñ adab aur hī kuchh hai",firaq-gorakhpuri
"kyā husn ke andāz-e-taġhāful kī shikāyat
paimān-e-vafā ishq kā jab aur hī kuchh hai",firaq-gorakhpuri
"duniyā ko jagā de jo adam ko bhī sulā de
sunte haiñ ki vo roz vo shab aur hī kuchh hai",firaq-gorakhpuri
"āñkhoñ ne 'firāq' aaj na pūchho jo dikhāyā
jo kuchh nazar aatā hai vo sab aur hī kuchh hai",firaq-gorakhpuri
"hijr-o-visāl-e-yār kā parda uThā diyā
ḳhud baḌh ke ishq ne mujhe merā patā diyā",firaq-gorakhpuri
"gard-o-ġhubār-e-hastī-e-fānī uḌā diyā
ai kīmiyā-e-ishq mujhe kyā banā diyā",firaq-gorakhpuri
"vo sāmne hai aur nazar se chhupā diyā
ai ishq-e-be-hijāb mujhe kyā dikhā diyā",firaq-gorakhpuri
"vo shān-e-ḳhāmushī ki bahāreñ haiñ muntazir
vo rañg-e-guftugū ki gulistāñ banā diyā",firaq-gorakhpuri
"dam le rahī thiiñ husn kī jab sehr-kāriyāñ
in vaqfa-hā-e-kufr ko īmāñ banā diyā",firaq-gorakhpuri
"ma.alūm kuchh mujhī ko haiñ un kī ravāniyāñ
jin qatra-hā-e-ashk ko dariyā banā dayā",firaq-gorakhpuri
"ik barq-e-be-qarār thī tamkīn-e-husn bhī
jis vaqt ishq ko ġham-e-sabr-āzmā diyā",firaq-gorakhpuri
"saaqī mujhe bhī yaad haiñ vo tishna-kāmiyāñ
jin ko harīf-e-sāġhar-o-mīnā banā diyā",firaq-gorakhpuri
"ma.alūm hai haqīqat-e-ġham-hā-e-rozgār
duniyā ko tere dard ne duniyā banā diyā",firaq-gorakhpuri
"ai shoḳhi-e-nigāh-e-karam muddatoñ ke ba.ad
ḳhvāb-e-girān-e-ġham se mujhe kyuuñ jagā diyā",firaq-gorakhpuri
"kuchh shorisheñ taġhāful-e-pinhāñ meñ thiiñ jinheñ
hañgāma-zār-e-hashr-e-tamannā banā diyā",firaq-gorakhpuri
"baḌhtā hī jā rahā hai jamāl-e-nazar-fareb
husn-e-nazar ko husn-e-ḳhud-ārā banā diyā",firaq-gorakhpuri
"phir dekhnā nigāh laḌī kis se ishq kī
gar husn ne hijāb-e-taġhāful uThā diyā",firaq-gorakhpuri
"jab ḳhuun ho chukā dil-e-hastī-e-etibār
kuchh dard bach rahe jinheñ insāñ banā diyā",firaq-gorakhpuri
"gum-karda-e-vafūr-e-ġham-e-intizār huuñ
tū kyā chhupā ki mujh ko mujhī se chhupā diyā",firaq-gorakhpuri
"raat ab harīf-e-sub.h-e-qayāmat hī kyuuñ na ho
jo kuchh bhī ho us aañkh ko ab to jagā diyā",firaq-gorakhpuri
"ab maiñ huuñ aur lutf-o-karam ke takallufāt
ye kyuuñ hijāb-e-ranjish-e-be-jā banā diyā",firaq-gorakhpuri
"thī yuuñ to shām-e-hijr magar pichhlī raat ko
vo dard uThā 'firāq' ki maiñ muskurā diyā",firaq-gorakhpuri
"ik roz hue the kuchh ishārāt ḳhafī se
āshiq haiñ ham us nargis-e-rānā ke jabhī se",firaq-gorakhpuri
"karne ko haiñ duur aaj to tau ye rog hī jī se
ab rakkheñge ham pyaar na tum se na kisī se",firaq-gorakhpuri
"ahbāb se rakhtā huuñ kuchh ummīd-e-sharāfat
rahte haiñ ḳhafā mujh se bahut log isī se",firaq-gorakhpuri
"kahtā huuñ use maiñ to ḳhusūsiyyat-e-pinhāñ
kuchh tum ko shikāyat hai kasī se to mujhī se",firaq-gorakhpuri
"ash.ār nahīñ haiñ ye mirī ruuh kī hai pyaas
jaarī hue sar-chashme mirī tishna-labī se",firaq-gorakhpuri
"aañsū ko mire khel tamāshā na samajhnā
kaT jaatā hai patthar isī hiire kī kanī se",firaq-gorakhpuri
"yād-e-lab-e-jānāñ hai charāġh-e-dil-e-ranjūr
raushan hai ye ghar aaj usī la.al-e-yamanī se",firaq-gorakhpuri
"aflāk kī mehrāb hai aa.ī huī añgḌā.ī
be-kaif kuchh āfāq kī a.azā-shikanī se",firaq-gorakhpuri
"kuchh zer-e-lab alfāz khanakte haiñ fazā meñ
gūñjī huī hai bazm tirī kam-suḳhanī se",firaq-gorakhpuri
"aaj anjuman-e-ishq nahīñ anjuman-e-ishq
kis darja kamī bazm meñ hai terī kamī se",firaq-gorakhpuri
"is vādī-e-vīrāñ meñ hai sar-chashma-e-dil bhī
hastī mirī sairāb hai āñkhoñ kī namī se",firaq-gorakhpuri
"ḳhud mujh ko bhī tā-der ḳhabar ho nahīñ paa.ī
aaj aa.ī tirī yaad is āhista-ravī se",firaq-gorakhpuri
"vo DhūñDhne niklī hai tirī nik.hat-e-gesū
ik roz milā thā maiñ nasīm-e-saharī se",firaq-gorakhpuri
"sab kuchh vo dilā de mujhe sab kuchh vo banā de
ai dost nahīñ duur tirī kam-nigahī se",firaq-gorakhpuri
"mī.ād-e-davām-o-abad ik niiñd hai us kī
ham muntahī-e-jalva-e-jānāñ haiñ abhī se",firaq-gorakhpuri
"ik dil ke sivā paas hamāre nahīñ kuchh bhī
jo kaam ho le lete haiñ ham log isī se",firaq-gorakhpuri
"ma.alūm huā aur hai ik ālam-e-asrār
ā.īna-e-hastī kī pareshāñ-nazarī se",firaq-gorakhpuri
"is se to kahīñ baiTh rahe toḌ ke ab paaoñ
mil jaa.e najāt ishq ko is dar-ba-darī se",firaq-gorakhpuri
"rahtā huuñ 'firāq' is liye vārafta ki duniyā
kuchh hosh meñ aa jaa.e mirī be-ḳhabarī se",firaq-gorakhpuri
"jahān-e-ġhuncha-e-dil kā faqat chaTaknā thā
usī kī bū-e-pareshāñ vajūd-e-duniyā thā",firaq-gorakhpuri
"ye kah ke kal koī be-iḳhtiyār rotā thā
vo ik nigāh sahī kyuuñ kisī ko dekhā thā",firaq-gorakhpuri
"tanābeñ kūcha-e-qātil kī khiñchtī jaatī thiiñ
shahīd-e-teġh-e-adā meñ bhī zor kitnā thā",firaq-gorakhpuri
"bas ik jhalak nazar aa.ī uḌe kalīm ke hosh
bas ik nigāh huī ḳhaak tūr-e-sīnā thā",firaq-gorakhpuri
"har ik ke haath faqat ġhaflateñ thiiñ hosh-numā
ki apne aap se begāna-vār jiinā thā",firaq-gorakhpuri
"yahī huā ki fareb-e-umīd-o-yās miTe
vo pā ga.e tire hāthoñ hameñ jo paanā thā",firaq-gorakhpuri
"chaman meñ ġhuncha-e-gul khilkhilā ke murjhā.e
yahī vo the jinheñ hañs hañs ke jaan denā thā",firaq-gorakhpuri
"nigāh-e-mehr meñ jis kī haiñ sad payām-e-fanā
usī kā ālam-e-ījād-o-nāz bejā thā",firaq-gorakhpuri
"jahāñ tū jalva-numā thā laraztī thī duniyā
tire jamāl se kaisā jalāl paidā thā",firaq-gorakhpuri
"hayāt-o-marg ke kuchh raaz khul ga.e hoñge
fasāna-e-shab-e-ġham varna dosto kyā thā",firaq-gorakhpuri
"shab-e-adam kā fasāna gudāz sham-e-hayāt
sivā.e kaif-e-fanā merā mājrā kyā thā",firaq-gorakhpuri
"kuchh aisī baat na thī terā duur ho jaanā
ye aur baat ki rah rah ke dard uThtā thā",firaq-gorakhpuri
"na pūchh sūd-o-ziyāñ kārobār-e-ulfat ke
vagarna yuuñ to na paanā thā kuchh na khotā thā",firaq-gorakhpuri
"lagāvTeñ vo tire husn-e-be-niyāz kī aah
maiñ terī bazm se jab nā-umīd uTThā thā",firaq-gorakhpuri
"tujhe ham ai dil-e-dard-āshnā kahāñ DhūñDeñ
ham apne hosh meñ kab the koī jab uTThā thā",firaq-gorakhpuri
"adam kā raaz sadā-e-shikast sāz-e-hayāt
hijāb-e-zīst bhī kitnā latīf pardā thā",firaq-gorakhpuri
"ye iztirāb-o-sukūñ bhī thī ik fareb-e-hayāt
ki apne haal se begāna-vār jiinā thā",firaq-gorakhpuri
"kahāñ pe chuuk huī tere be-qarāroñ se
zamāna dūsrī karvaT badalne vaalā thā",firaq-gorakhpuri
"ye koī yaad hai ye bhī hai koī mahviyyat
tire ḳhayāl meñ tujh ko bhī bhuul jaanā thā",firaq-gorakhpuri
"kahāñ kī choT ubhar aa.ī husn-e-tābāñ meñ
dam-e-nazāra vo ruḳh dard sā chamaktā thā",firaq-gorakhpuri
"na pūchh ramz-o-kināyāt chashm-e-sāqī ke
bas ek hashr-e-ḳhamosh anjuman meñ barpā thā",firaq-gorakhpuri
"chaman chaman thī gul-e-dāġh-e-ishq se hastī
usī kī nik.hat-e-barbād kā zamāna thā",firaq-gorakhpuri
"vo thā mirā dil-e-ḳhūñ-gashta jis ke miTne se
bahār-e-bāġha-e-jināñ thī vajūd-e-duniyā thā",firaq-gorakhpuri
"qasam hai bāda-kasho chashm-e-mast-e-sāqī kī
batāo haath se kyā jām-e-mai sambhaltā thā",firaq-gorakhpuri
"visāl us se maiñ chāhūñ kahāñ ye dil merā
ye ro rahā huuñ ki kyuuñ us ko maiñ ne dekhā thā",firaq-gorakhpuri
"umiid yaas banī yaas phir umiid banī
us ik nazar meñ fareb-e-nigāh kitnā thā",firaq-gorakhpuri
"ye soz-o-sāz-e-nihāñ thā vo soz-o-sāz-e-ayāñ
visāl-o-hijr meñ bas farq thā to itnā thā",firaq-gorakhpuri
"shikast-e-sāz-e-chaman thī bahār-e-lāla-o-gul
ḳhizāñ machaltī thī ġhuncha jahāñ chaTaktā thā",firaq-gorakhpuri
"har ek saañs hai tajdīd-e-yād-e-ayyāmī
guzar gayā vo zamāna jise guzarnā thā",firaq-gorakhpuri
"na koī va.ada na koī yaqīñ na koī umiid
magar hameñ to tirā intizār karnā thā",firaq-gorakhpuri
"kisī ke sabr ne be-sabr diyā sab ko
'firāq' naza.a meñ karvaT koī badaltā thā",firaq-gorakhpuri
"jaur-o-be-mehrī-e-iġhmāz pe kyā rotā hai
mehrbāñ bhī koī ho jā.egā jaldī kyā hai",firaq-gorakhpuri
"kho diyā tum ko to ham pūchhte phirte haiñ yahī
jis kī taqdīr bigaḌ jaa.e vo kartā kyā hai",firaq-gorakhpuri
"dil kā ik kaam jo hotā nahīñ ik muddat se
tum zarā haath lagā do to huā rakkhā hai",firaq-gorakhpuri
"nigah-e-shoḳh meñ aur dil meñ haiñ choTeñ kyā kyā
aaj tak ham na samajh paa.e ki jhagḌā kyā hai",firaq-gorakhpuri
"ishq se tauba bhī hai husn se shikve bhī hazār
kahiye to hazrat-e-dil aap kā manshā kyā hai",firaq-gorakhpuri
"zīnat-e-dosh tirā nāma-e-a.amāl na ho
terī dastār se vaa.iz ye laTaktā kyā hai",firaq-gorakhpuri
"haañ abhī vaqt kā ā.īna dikhā.e kyā kyā
dekhte jaao zamāna abhī dekhā kyā hai",firaq-gorakhpuri
"na yagāne haiñ na begāne tirī mahfil meñ
na koī ġhair yahāñ hai na koī apnā hai",firaq-gorakhpuri
"nigah-e-mast ko jumbish na hui go sar-e-bazm
kuchh to is jām-e-labā-lab se abhī chhalkā hai",firaq-gorakhpuri
"rāt-din phirtī hai palkoñ ke jo saa.e saa.e
dil mirā us nigah-e-nāz kā dīvānā hai",firaq-gorakhpuri
"ham judā.ī se bhī kuchh kaam to le hī leñge
be-niyāzāna ta.alluq hī chhuTā achchhā hai",firaq-gorakhpuri
"un se baḌh-chaḌh ke to ai dost haiñ yādeñ in kī
nāz-o-andāz-o-adā meñ tirī rakkhā kyā hai",firaq-gorakhpuri
"aisī bātoñ se badaltī hai kahīñ fitrat-e-husn
jaan bhī de de agar koī to kyā hotā hai",firaq-gorakhpuri
"tirī āñkhoñ ko bhī inkār tirī zulf ko bhī
kis ne ye ishq ko dīvāna banā rakkhā hai",firaq-gorakhpuri
"dil tirā jaan tirī aah tirī ashk tire
jo hai ai dost vo terā hai hamārā kyā hai",firaq-gorakhpuri
"dar-e-daulat pe duā.eñ sī sunī haiñ maiñ ne
dekhiye aaj faqīroñ kā kidhar pherā hai",firaq-gorakhpuri
"tujh ko ho jā.eñge shaitān ke darshan vaa.iz
Daal kar muñh ko garebāñ meñ kabhī dekhā hai",firaq-gorakhpuri
"ham kahe dete haiñ chāloñ meñ na aao un kī
sarvat-o-jāh ke ishvoñ se bacho dhokā hai",firaq-gorakhpuri
"yahī gar aañkh meñ rah jaa.e to hai chiñgārī
qatra-e-ashk jo bah jaa.e to ik dariyā hai",firaq-gorakhpuri
"zulf-e-shab-gūñ ke sivā nargis-e-jādū ke sivā
dil ko kuchh aur balāoñ ne bhī aa gherā hai",firaq-gorakhpuri
"lab-e-ejāz kī saugand ye jhankār thī kyā
terī ḳhāmoshī ke mānind abhī kuchh TuuTā hai",firaq-gorakhpuri
"daar par gaah nazar gaah sū-e-shahr-e-nigār
kuchh suneñ ham bhī to ai ishq irāda kyā hai",firaq-gorakhpuri
"aa ki ġhurbat-kada-e-dahr meñ jī bahlā.eñ
ai dil us jalva-gah-e-nāz meñ kyā rakkhā hai",firaq-gorakhpuri
"zaḳhm hī zaḳhm huuñ maiñ sub.h kī mānind 'firāq'
raat bhar hijr kī lazzat se mazā luuTā hai",firaq-gorakhpuri
"junūn-e-kārgar hai aur maiñ huuñ
hayāt-e-be-ḳhabar hai aur maiñ huuñ",firaq-gorakhpuri
"miTā kar dil nigāh-e-avvalīñ se
taqāzā-e-digar hai aur maiñ huuñ",firaq-gorakhpuri
"kahāñ maiñ aa gayā ai zor-e-parvāz
vabāl-e-bāl-o-par hai aur maiñ huuñ",firaq-gorakhpuri
"nigāh-e-avvalīñ se ho ke barbād
taqāzā-e-digar hai aur maiñ huuñ",firaq-gorakhpuri
"mubārakbād ayyām-e-asīrī
ġham-e-dīvār-o-dar hai aur maiñ huuñ",firaq-gorakhpuri
"tirī jam.iyyateñ haiñ aur tū hai
hayāt-e-muntashar hai aur maiñ huuñ",firaq-gorakhpuri
"koī ho sust-paimāñ bhī to yuuñ ho
ye shām-e-be-sahar hai aur maiñ huuñ",firaq-gorakhpuri
"nigāh-e-be-mahābā tere sadqe
ka.ī TukḌe jigar hai aur maiñ huuñ",firaq-gorakhpuri
"Thikānā hai kuchh is uzr-e-sitam kā
tirī nīchī nazar hai aur maiñ huuñ",firaq-gorakhpuri
"'firāq' ik ek hasrat miT rahī hai
ye mātam raat bhar hai aur maiñ huuñ",firaq-gorakhpuri
"kamī na kī tire vahshī ne ḳhaak uḌāne meñ
junūñ kā naam uchhaltā rahā zamāne meñ",firaq-gorakhpuri
"'firāq' dauḌ ga.ī ruuh sī zamāne meñ
kahāñ kā dard bharā thā mire fasāne meñ",firaq-gorakhpuri
"junūñ se bhuul huī dil pe choT khāne meñ
'firāq' der abhī thī bahār aane meñ",firaq-gorakhpuri
"vo koī rañg hai jo uḌ na jaa.e ai gul-e-tar
vo koī bū hai jo rusvā na ho zamāne meñ",firaq-gorakhpuri
"vo āstīñ hai koī jo lahū na de nikle
vo koī hasan hai jhijhke jo rañg laane meñ",firaq-gorakhpuri
"ye gul khile haiñ ki choTeñ jigar kī ubhrī haiñ
nihāñ bahār thī bulbul tire tarāne meñ",firaq-gorakhpuri
"bayān-e-sham.a hai hāsil yahī hai jalne kā
fanā kī kaifiyateñ dekh jhilmilāne meñ",firaq-gorakhpuri
"kasī kī hālat-e-dil sun ke uTh ga.iiñ āñkheñ
ki jaan paḌ ga.ī hasrat bhare fasāne meñ",firaq-gorakhpuri
"usī kī sharh hai ye uThte dard kā aalam
jo dāstāñ thī nihāñ tere aañkh uThāne meñ",firaq-gorakhpuri
"ġharaz ki kaaT diye zindagī ke din ai dost
vo terī yaad meñ hoñ yā tujhe bhulāne meñ",firaq-gorakhpuri
"hamīñ haiñ gul hamīñ bulbul hamīñ havā-e-chaman
'firāq' ḳhvāb ye dekhā hai qaid-ḳhāne meñ",firaq-gorakhpuri
"kisī kā yuuñ to huā kaun umr bhar phir bhī
ye husn o ishq to dhokā hai sab magar phir bhī",firaq-gorakhpuri
"hazār baar zamāna idhar se guzrā hai
na.ī na.ī sī hai kuchh terī rahguzar phir bhī",firaq-gorakhpuri
"kahūñ ye kaise idhar dekh yā na dekh udhar
ki dard dard hai phir bhī nazar nazar phir bhī",firaq-gorakhpuri
"ḳhushā ishāra-e-paiham zahe sukūt-e-nazar
darāz ho ke fasāna hai muḳhtasar phir bhī",firaq-gorakhpuri
"jhapak rahī haiñ zamān o makāñ kī bhī āñkheñ
magar hai qāfila āmāda-e-safar phir bhī",firaq-gorakhpuri
"shab-e-firāq se aage hai aaj merī nazar
ki kaT hī jā.egī ye shām-e-be-sahar phir bhī",firaq-gorakhpuri
"kahīñ yahī to nahīñ kāshif-e-hayāt-o-mamāt
ye husn o ishq ba-zāhir haiñ be-ḳhabar phir bhī",firaq-gorakhpuri
"palaT rahe haiñ ġharīb-ul-vatan palaTnā thā
vo kūcha rū-kash-e-jannat ho ghar hai ghar phir bhī",firaq-gorakhpuri
"luTā huā chaman-e-ishq hai nigāhoñ ko
dikhā gayā vahī kyā kyā gul o samar phir bhī",firaq-gorakhpuri
"ḳharāb ho ke bhī sochā kiye tire mahjūr
yahī ki terī nazar hai tirī nazar phir bhī",firaq-gorakhpuri
"ho be-niyāz-e-asar bhī kabhī tirī miTTī
vo kīmiyā hī sahī rah ga.ī kasar phir bhī",firaq-gorakhpuri
"lipaT gayā tirā dīvāna garche manzil se
uḌī uḌī sī hai ye ḳhāk-e-rahguzar phir bhī",firaq-gorakhpuri
"tirī nigāh se bachne meñ umr guzrī hai
utar gayā rag-e-jāñ meñ ye neshtar phir bhī",firaq-gorakhpuri
"ġham-e-firāq ke kushtoñ kā hashr kyā hogā
ye shām-e-hijr to ho jā.egī sahar phir bhī",firaq-gorakhpuri
"fanā bhī ho ke girāñ-bārī-e-hayāt na pūchh
uThā.e uTh nahīñ saktā ye dard-e-sar phir bhī",firaq-gorakhpuri
"sitam ke rañg haiñ har iltifāt-e-pinhāñ meñ
karam-numā haiñ tire jaur sar-ba-sar phir bhī",firaq-gorakhpuri
"ḳhatā-muāf tirā afv bhī hai misl-e-sazā
tirī sazā meñ hai ik shān-e-dar-guzar phir bhī",firaq-gorakhpuri
"agarche be-ḳhudī-e-ishq ko zamāna huā
'firāq' kartī rahī kaam vo nazar phir bhī",firaq-gorakhpuri
"koī paiġhām-e-mohabbat lab-e-ejāz to de
maut kī aañkh bhī khul jā.egī āvāz to de",firaq-gorakhpuri
"maqsad-e-ishq ham-āhañgī-e-juzv-o-kul hai
dard hī dard sahī dil bū-e-dam-sāz to de",firaq-gorakhpuri
"chashm-e-maḳhmūr ke unvān-e-nazar kuchh to khuleñ
dil-e-ranjūr dhaḌakne kā kuchh andāz to de",firaq-gorakhpuri
"ik zarā ho nasha-e-husn meñ andāz-e-ḳhumār
ik jhalak ishq ke anjām kī āġhāz to de",firaq-gorakhpuri
"jo chhupā.e na chhupe aur batā.e na bane
dil-e-āshiq ko in āñkhoñ se koī raaz to de",firaq-gorakhpuri
"muntazir itnī kabhī thī na fazā-e-āfāq
chheḌne hī ko huuñ pur-dard ġhazal saaz to de",firaq-gorakhpuri
"ham asīrān-e-qafas aag lagā sakte haiñ
fursat-e-naġhma kabhī hasrat-e-parvāz to de",firaq-gorakhpuri
"ishq ik baar mashiyyat ko badal saktā hai
indiya apnā magar kuchh nigah-e-nāz to de",firaq-gorakhpuri
"qurb o dīdār to ma.alūm kisī kā phir bhī
kuchh pata sā falak-e-tafraqa-pardāz to de",firaq-gorakhpuri
"manzileñ gard kī mānind uḌī jaatī haiñ
ablaq-e-dahr kuchh andāz-e-tag-o-tāz to de",firaq-gorakhpuri
"kaan se ham to 'firāq' aañkh kā lete haiñ kaam
aaj chhup kar koī āvāz par āvāz to de",firaq-gorakhpuri
"kuchh ishāre the jinheñ duniyā samajh baiThe the ham
us nigāh-e-āshnā ko kyā samajh baiThe the ham",firaq-gorakhpuri
"rafta rafta ġhair apnī hī nazar meñ ho ga.e
vāh-rī ġhaflat tujhe apnā samajh baiThe the ham",firaq-gorakhpuri
"hosh kī taufīq bhī kab ahl-e-dil ko ho sakī
ishq meñ apne ko dīvāna samajh baiThe the ham",firaq-gorakhpuri
"parda-e-āzurdagī meñ thī vo jān-e-iltifāt
jis adā ko ranjish-e-bejā samajh baiThe the ham",firaq-gorakhpuri
"kyā kaheñ ulfat meñ rāz-e-be-hisī kyūñkar khulā
har nazar ko terī dard-afzā samajh baiThe the ham",firaq-gorakhpuri
"be-niyāzī ko tirī paayā sarāsar soz o dard
tujh ko ik duniyā se begāna samajh baiThe the ham",firaq-gorakhpuri
"inqalāb-e-pai-ba-pai har gardish o har daur meñ
is zamīn o āsmāñ ko kyā samajh baiThe the ham",firaq-gorakhpuri
"bhuul baiThī vo nigāh-e-nāz ahd-e-dostī
us ko bhī apnī tabī.at kā samajh baiThe the ham",firaq-gorakhpuri
"saaf alag ham ko junūn-e-āshiqī ne kar diyā
ḳhud ko tere dard kā pardā samajh baiThe the ham",firaq-gorakhpuri
"kaan bajte haiñ mohabbat ke sukūt-e-nāz ko
dāstāñ kā ḳhatm ho jaanā samajh baiThe the ham",firaq-gorakhpuri
"bātoñ bātoñ meñ payām-e-marg bhī aa hī gayā
un nigāhoñ ko hayāt-afzā samajh baiThe the ham",firaq-gorakhpuri
"ab nahīñ tāb-e-sipās-e-husn is dil ko jise
be-qrār-e-shikva-e-bejā samajh baiThe the ham",firaq-gorakhpuri
"ek duniyā dard kī tasvīr niklī ishq ko
koh-kan aur qais kā qissa samajh baiThe the ham",firaq-gorakhpuri
"rafta rafta ishq mānūs-e-jahāñ hotā chalā
ḳhud ko tere hijr meñ tanhā samajh baiThe the ham",firaq-gorakhpuri
"husn ko ik husn hī samjhe nahīñ aur ai 'firāq'
mehrbāñ nā-mehrbāñ kyā kyā samajh baiThe the ham",firaq-gorakhpuri
"kuchh na kuchh ishq kī tāsīr kā iqrār to hai
us kā ilzām-e-taġhāful pe kuchh inkār to hai",firaq-gorakhpuri
"har fareb-e-ġham-e-duniyā se ḳhabar-dār to hai
terā dīvāna kisī kaam meñ hushyār to hai",firaq-gorakhpuri
"dekh lete haiñ sabhī kuchh tire mushtāq-e-jamāl
ḳhair dīdār na ho hasrat-e-dīdār to hai",firaq-gorakhpuri
"ma.arke sar hoñ usī barq-e-nazar se ai husn
ye chamaktī huī chaltī hui talvār to hai",firaq-gorakhpuri
"sar paTakne ko paTaktā hai magar ruk ruk kar
tere vahshī ko ḳhayāl-e-dar-o-dīvār to hai",firaq-gorakhpuri
"ishq kā shikva-e-bejā bhī na be-kār gayā
na sahī jaur magar jaur kā iqrār to hai",firaq-gorakhpuri
